match_id,game,date,tournament,series,team1_id,team1_name,team2_id,team2_name,winner_id,label,n_games
1448810,cs-go,2026-04-18 15:05:24+00:00,Group B,Season 5 2026,138582,Dua Lipa Enjoyers,133941,Sashi Academy,133941,0,1
1448794,cs-go,2026-04-18 15:21:00+00:00,Group A,Season 5 2026,128394,AaB Esport,137580, Phantom Academy,128394,1,1
1448795,cs-go,2026-04-18 15:23:30+00:00,Group A,Season 5 2026,131591,XI Esport,138089,zajezdzacze,138089,0,1
1448809,cs-go,2026-04-18 15:23:50+00:00,Group B,Season 5 2026,134251,Rebels Gaming,138405,Z7 Esports,134251,1,1
1431940,cs-go,2026-04-18 15:43:25+00:00,Group Stage,Season 7 2026,137948,TDK,137932,ex-RUBY,137948,1,3
1449722,cs-go,2026-04-18 15:57:55+00:00,Playoffs,Challengers Series 1 2026,127899,VP.Prodigy,135981,Donstu Esports,135981,0,3
1449723,cs-go,2026-04-18 16:04:21+00:00,Playoffs,Challengers Series 1 2026,130594,Dripmen,138407,playersclub,138407,0,3
1448797,cs-go,2026-04-18 16:29:48+00:00,Group A,Season 5 2026,128394,AaB Esport,138089,zajezdzacze,138089,0,1
1448811,cs-go,2026-04-18 16:30:03+00:00,Group B,Season 5 2026,138486,ImmuNe,137416,TNC,137416,0,1
1448796,cs-go,2026-04-18 16:32:35+00:00,Group A,Season 5 2026,138581,ELITEN,127976,Infinite,127976,0,1
1436338,cs-go,2026-04-18 16:40:16+00:00,Playoffs,Rio 2026,130564,Team Falcons,124523,Spirit,124523,0,3
1448812,cs-go,2026-04-18 16:58:23+00:00,Group B,Season 5 2026,134251,Rebels Gaming,133941,Sashi Academy,134251,1,1
1448799,cs-go,2026-04-18 17:57:00+00:00,Group A,Season 5 2026,131591,XI Esport,138581,ELITEN,131591,1,1
1448814,cs-go,2026-04-18 18:00:08+00:00,Group B,Season 5 2026,138582,Dua Lipa Enjoyers,138486,ImmuNe,138486,0,1
1448813,cs-go,2026-04-18 18:04:51+00:00,Group B,Season 5 2026,138405,Z7 Esports,137416,TNC,137416,0,1
1448798,cs-go,2026-04-18 18:10:23+00:00,Group A,Season 5 2026,137580, Phantom Academy,127976,Infinite,137580,1,1
1431941,cs-go,2026-04-18 19:16:42+00:00,Group Stage,Season 7 2026,134964,Favbet,136560,Phantom,134964,1,3
1448801,cs-go,2026-04-18 19:27:22+00:00,Group A,Season 5 2026,138089,zajezdzacze,138581,ELITEN,138089,1,1
1448800,cs-go,2026-04-18 19:28:55+00:00,Group A,Season 5 2026,128394,AaB Esport,127976,Infinite,127976,0,1
1448816,cs-go,2026-04-18 19:40:26+00:00,Group B,Season 5 2026,133941,Sashi Academy,138486,ImmuNe,133941,1,1
1448815,cs-go,2026-04-18 19:49:11+00:00,Group B,Season 5 2026,134251,Rebels Gaming,137416,TNC,137416,0,1
1449863,cs-go,2026-04-18 19:50:28+00:00,Main Stage,Season 25 2026,135326,Wingman,133571,Wave Esports,135326,1,3
1436339,cs-go,2026-04-18 20:23:17+00:00,Playoffs,Rio 2026,124530,FURIA,3455,Vitality,3455,0,3
1448802,cs-go,2026-04-18 20:34:12+00:00,Group A,Season 5 2026,137580, Phantom Academy,131591,XI Esport,131591,0,1
1448817,cs-go,2026-04-18 20:46:59+00:00,Group B,Season 5 2026,138405,Z7 Esports,138582,Dua Lipa Enjoyers,138582,0,1
1447271,cs-go,2026-04-18 22:36:23+00:00,Playoffs,Challengers #1 2026,129800,MIBR Academy,137320,Vasco Esports,129800,1,3
1447264,cs-go,2026-04-19 01:56:00+00:00,Playoffs,Challengers #1 2026,128378,Procyon Gaming,130605,UNO MILLE,130605,0,3
